Data/Hora;Ult.;Abert.;Max;Min;Pr.Med;%;Fech;Vol($);Vol(Q);
02/04/2024;22,04;22,16;22,34;21,99;0,00;-0,81;22,22;0,00;6.277;
01/04/2024;22,22;22,10;22,32;22,06;0,00;0,77;22,05;0,00;21.138;
28/03/2024;22,05;21,83;22,09;21,73;0,00;1,01;21,83;0,00;15.392;
27/03/2024;21,83;21,84;21,90;21,43;0,00;-0,41;21,92;0,00;13.555;
26/03/2024;21,92;21,65;22,00;21,63;0,00;1,25;21,65;0,00;20.134;
25/03/2024;21,65;21,54;21,78;21,47;0,00;0,23;21,60;0,00;12.058;
22/03/2024;21,60;21,71;21,86;21,49;0,00;-0,64;21,74;0,00;10.963;
21/03/2024;21,74;21,50;21,82;21,50;0,00;1,49;21,42;0,00;11.844;
20/03/2024;21,42;21,39;21,47;20,91;0,00;0,14;21,39;0,00;18.091;
19/03/2024;21,39;21,70;21,78;21,24;0,00;-1,75;21,77;0,00;18.235;
18/03/2024;21,77;21,75;21,91;21,58;0,00;0,32;21,70;0,00;14.113;
15/03/2024;21,70;21,50;21,76;21,46;0,00;0,93;21,50;0,00;15.295;
14/03/2024;21,50;21,63;21,82;21,39;0,00;-0,51;21,61;0,00;19.272;
13/03/2024;21,61;21,73;21,82;21,08;0,00;0,00;21,61;0,00;22.009;
12/03/2024;21,61;21,70;21,79;21,51;0,00;-0,41;21,70;0,00;22.368;
11/03/2024;21,70;21,05;21,74;20,99;0,00;3,33;21,00;0,00;17.072;
08/03/2024;21,00;21,15;21,17;20,87;0,00;-0,71;21,15;0,00;13.865;
07/03/2024;21,15;21,19;21,24;20,71;0,00;-0,28;21,21;0,00;14.132;
06/03/2024;21,21;20,77;21,39;20,61;0,00;2,27;20,74;0,00;14.867;
05/03/2024;20,74;20,67;20,94;20,57;0,00;0,48;20,64;0,00;15.683;
04/03/2024;20,64;21,04;21,26;20,59;0,00;-1,76;21,01;0,00;24.550;
01/03/2024;21,01;21,70;21,74;20,88;0,00;-2,78;21,61;0,00;25.189;
29/02/2024;21,61;22,41;22,41;21,46;0,00;-3,61;22,42;0,00;30.021;
28/02/2024;22,42;22,30;22,55;22,26;0,00;0,22;22,37;0,00;9.591;
27/02/2024;22,37;21,94;22,57;21,92;0,00;1,96;21,94;0,00;13.987;
26/02/2024;21,94;21,74;22,21;21,55;0,00;1,20;21,68;0,00;12.153;
23/02/2024;21,68;21,93;22,20;21,61;0,00;-1,45;22,00;0,00;12.668;
22/02/2024;22,00;22,16;22,17;21,52;0,00;-0,77;22,17;0,00;19.737;
21/02/2024;22,17;22,08;22,25;21,82;0,00;0,41;22,08;0,00;10.893;
20/02/2024;22,08;22,34;22,34;21,76;0,00;-1,30;22,37;0,00;21.104;
16/02/2024;22,37;22,02;22,55;21,91;0,00;1,68;22,00;0,00;11.327;
15/02/2024;22,00;22,47;22,48;21,94;0,00;-2,05;22,46;0,00;11.327;
14/02/2024;22,46;22,39;22,60;21,92;0,00;0,31;22,39;0,00;12.334;
13/02/2024;22,39;22,64;22,65;22,27;0,00;-1,02;22,62;0,00;11.472;
12/02/2024;22,62;22,92;22,93;22,59;0,00;-1,52;22,97;0,00;12.234;
09/02/2024;22,97;22,87;23,12;22,83;0,00;0,39;22,88;0,00;14.383;
08/02/2024;22,88;22,81;22,92;22,56;0,00;0,22;22,83;0,00;13.154;
07/02/2024;22,83;22,54;23,02;22,54;0,00;1,51;22,49;0,00;19.358;
06/02/2024;22,49;22,50;22,75;22,29;0,00;-0,13;22,52;0,00;12.292;
05/02/2024;22,52;22,67;22,71;22,41;0,00;-0,49;22,63;0,00;11.638;
02/02/2024;22,63;22,38;22,66;22,29;0,00;0,94;22,42;0,00;15.498;
01/02/2024;22,42;22,65;22,71;22,37;0,00;-1,10;22,67;0,00;11.499;
31/01/2024;22,67;22,54;22,70;22,49;0,00;0,53;22,55;0,00;9.698;
30/01/2024;22,55;22,13;22,56;22,12;0,00;1,26;22,27;0,00;14.257;
29/01/2024;22,27;22,51;22,74;22,24;0,00;-1,07;22,51;0,00;13.240;
26/01/2024;22,51;22,65;22,77;22,37;0,00;-0,49;22,62;0,00;15.422;
25/01/2024;22,62;22,65;22,70;22,41;0,00;-0,26;22,68;0,00;16.695;
24/01/2024;22,68;22,24;22,71;22,12;0,00;1,98;22,24;0,00;15.963;
23/01/2024;22,24;22,11;22,30;21,96;0,00;0,63;22,10;0,00;10.146;
22/01/2024;22,10;21,96;22,12;21,90;0,00;0,41;22,01;0,00;11.416;
19/01/2024;22,01;21,71;22,10;21,63;0,00;1,52;21,68;0,00;16.658;
18/01/2024;21,68;21,35;21,74;21,30;0,00;1,55;21,35;0,00;11.051;
17/01/2024;21,35;21,42;21,50;21,19;0,00;-0,23;21,40;0,00;10.613;
16/01/2024;21,40;21,05;21,49;20,98;0,00;2,84;20,81;0,00;16.114;
12/01/2024;20,81;21,00;21,00;20,76;0,00;-0,48;20,91;0,00;7.134;
11/01/2024;20,91;20,72;20,99;20,68;0,00;1,01;20,70;0,00;7.134;
10/01/2024;20,70;20,92;21,08;20,67;0,00;-1,10;20,93;0,00;10.959;
09/01/2024;20,93;21,00;21,11;20,83;0,00;-0,14;20,96;0,00;8.905;
08/01/2024;20,96;20,70;20,98;20,64;0,00;1,30;20,69;0,00;10.388;
05/01/2024;20,69;20,68;20,71;20,22;0,00;0,24;20,64;0,00;5.970;
04/01/2024;20,64;20,62;20,72;20,45;0,00;0,78;20,48;0,00;11.301;
03/01/2024;20,48;20,61;20,93;20,42;0,00;-0,44;20,57;0,00;10.355;
02/01/2024;20,57;20,58;20,88;20,31;0,00;0,19;20,53;0,00;11.301;
29/12/2023;20,53;21,16;21,20;20,25;0,00;-2,98;21,16;0,00;12.673;
28/12/2023;21,16;20,31;21,24;20,24;0,00;3,83;20,38;0,00;12.673;
27/12/2023;20,38;20,19;20,61;19,90;0,00;1,19;20,14;0,00;8.461;
26/12/2023;20,14;20,24;20,34;19,89;0,00;-0,59;20,26;0,00;6.959;
22/12/2023;20,26;19,95;20,50;19,90;0,00;1,86;19,89;0,00;12.439;
21/12/2023;19,89;20,23;20,23;19,74;0,00;-1,68;20,23;0,00;12.439;
20/12/2023;20,23;20,62;20,76;20,20;0,00;-1,75;20,59;0,00;11.661;
