Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
28.10.2021,"15,42","15,42","15,42","15,42","0,00","0,00"
01.11.2021,"15,55","15,50","15,60","15,50","0,00","0,84"
02.11.2021,"15,49","15,48","15,61","15,46","0,00","-0,39"
03.11.2021,"15,61","15,55","15,61","15,53","0,00","0,77"
04.11.2021,"15,53","15,52","15,60","15,52","0,00","-0,51"
05.11.2021,"15,60","15,60","15,60","15,60","0,00","0,45"
08.11.2021,"15,56","15,56","15,56","15,56","0,00","-0,26"
09.11.2021,"15,53","15,53","15,53","15,53","0,00","-0,19"
10.11.2021,"15,39","15,51","15,60","15,39","0,00","-0,90"
11.11.2021,"15,49","15,40","15,50","15,39","0,00","0,65"
12.11.2021,"15,42","15,36","15,53","15,36","0,00","-0,45"
15.11.2021,"15,51","15,51","15,51","15,51","0,00","0,58"
16.11.2021,"15,50","15,50","15,50","15,50","0,00","-0,06"
17.11.2021,"15,40","15,50","15,50","15,40","0,00","-0,65"
18.11.2021,"15,51","15,40","15,58","15,40","0,00","0,71"
19.11.2021,"15,49","15,51","15,60","15,49","0,00","-0,13"
22.11.2021,"15,49","15,56","15,60","15,49","0,00","0,00"
23.11.2021,"15,52","15,54","15,59","15,52","0,00","0,19"
24.11.2021,"15,55","15,46","15,55","15,46","0,00","0,19"
26.11.2021,"15,52","15,40","15,59","15,37","0,00","-0,19"
29.11.2021,"15,54","15,52","15,60","15,37","0,00","0,13"
30.11.2021,"15,54","15,48","15,61","15,48","0,00","0,00"
01.12.2021,"15,62","15,69","15,72","15,62","0,00","0,51"
02.12.2021,"15,46","15,51","15,60","15,46","0,00","-1,02"
03.12.2021,"15,39","15,51","15,52","15,37","0,00","-0,45"
06.12.2021,"15,37","15,37","15,37","15,36","0,00","-0,13"
07.12.2021,"15,41","15,41","15,41","15,41","0,00","0,26"
08.12.2021,"15,48","15,52","15,52","15,48","0,00","0,45"
09.12.2021,"15,38","15,38","15,38","15,38","0,00","-0,65"
10.12.2021,"15,49","15,49","15,49","15,49","0,00","0,72"
13.12.2021,"15,43","15,43","15,43","15,43","0,00","-0,39"
14.12.2021,"15,46","15,46","15,46","15,46","0,00","0,19"
15.12.2021,"15,60","15,50","15,69","15,50","0,00","0,91"
16.12.2021,"15,70","15,61","15,70","15,61","0,00","0,64"
17.12.2021,"15,67","15,67","15,67","15,67","0,00","-0,19"
20.12.2021,"15,71","15,60","15,71","15,60","0,00","0,26"
21.12.2021,"15,65","15,68","15,75","15,65","0,00","-0,38"
22.12.2021,"15,71","15,69","15,74","15,69","0,00","0,38"
23.12.2021,"15,78","15,78","15,78","15,78","0,00","0,45"
27.12.2021,"15,75","15,75","15,75","15,75","0,00","-0,19"
28.12.2021,"15,69","15,72","15,72","15,62","0,00","-0,38"
29.12.2021,"15,73","15,68","15,74","15,68","0,00","0,25"
30.12.2021,"15,77","15,77","15,77","15,77","0,00","0,25"
31.12.2021,"15,97","15,86","15,97","15,86","0,00","1,27"
03.01.2022,"15,93","15,93","15,93","15,93","0,00","-0,25"
04.01.2022,"15,75","15,81","15,81","15,75","0,00","-1,13"
05.01.2022,"15,73","15,71","15,73","15,71","0,00","-0,13"
06.01.2022,"15,69","15,71","15,71","15,69","0,00","-0,25"
07.01.2022,"15,82","15,74","15,86","15,69","0,00","0,83"
10.01.2022,"15,88","15,88","15,88","15,80","0,00","0,38"
11.01.2022,"15,83","15,99","15,99","15,83","0,00","-0,31"
12.01.2022,"15,89","15,90","15,90","15,89","0,00","0,38"
13.01.2022,"15,87","15,90","15,90","15,87","0,00","-0,13"
14.01.2022,"15,85","15,90","15,90","15,75","0,00","-0,13"
18.01.2022,"15,81","15,81","15,90","15,81","0,00","-0,25"
19.01.2022,"15,85","15,75","15,85","15,70","0,00","0,25"
20.01.2022,"15,94","15,90","15,94","15,90","0,00","0,57"
21.01.2022,"15,91","15,91","15,91","15,91","0,00","-0,19"
24.01.2022,"15,73","15,80","15,80","15,54","0,00","-1,13"
25.01.2022,"15,74","15,72","15,74","15,58","0,00","0,06"
26.01.2022,"15,70","15,67","15,70","15,59","0,00","-0,25"
27.01.2022,"15,62","15,55","15,64","15,52","0,00","-0,51"
28.01.2022,"15,57","15,52","15,57","15,34","0,00","-0,32"
31.01.2022,"15,57","15,55","15,57","15,51","0,00","0,00"
01.02.2022,"15,63","15,65","15,65","15,63","0,00","0,39"
02.02.2022,"15,56","15,61","15,64","15,56","0,00","-0,45"
03.02.2022,"15,87","15,58","15,91","15,58","0,00","1,99"
04.02.2022,"15,77","15,86","15,90","15,75","0,00","-0,63"
07.02.2022,"15,88","15,89","15,90","15,88","0,00","0,70"
08.02.2022,"15,81","15,78","15,81","15,72","0,00","-0,44"
09.02.2022,"15,79","15,80","15,82","15,68","0,00","-0,13"
10.02.2022,"15,83","15,78","15,89","15,71","0,00","0,25"
11.02.2022,"15,92","15,79","15,92","15,79","0,00","0,57"
14.02.2022,"15,79","15,79","15,79","15,71","0,00","-0,82"
15.02.2022,"15,78","15,73","15,78","15,68","0,00","-0,06"
16.02.2022,"15,73","15,73","15,73","15,73","0,00","-0,32"
17.02.2022,"15,88","15,80","15,88","15,80","0,00","0,95"
18.02.2022,"15,85","15,85","15,85","15,85","0,00","-0,19"
22.02.2022,"15,85","15,79","15,95","15,75","0,00","0,00"
23.02.2022,"15,81","15,85","15,85","15,81","0,00","-0,25"
24.02.2022,"15,70","15,93","15,93","15,70","0,00","-0,70"
25.02.2022,"15,78","15,78","15,78","15,78","0,00","0,51"
28.02.2022,"15,73","15,73","15,73","15,73","0,00","-0,32"
01.03.2022,"16,03","15,95","16,08","15,95","0,00","1,91"
02.03.2022,"16,05","16,01","16,05","16,01","0,00","0,12"
03.03.2022,"16,18","16,18","16,18","16,18","0,00","0,81"
04.03.2022,"16,23","16,16","16,33","16,13","0,00","0,31"
07.03.2022,"16,58","16,38","16,58","16,35","0,00","2,16"
08.03.2022,"16,50","16,50","16,50","16,43","0,00","-0,48"
09.03.2022,"16,58","16,45","16,62","16,45","0,00","0,48"
10.03.2022,"16,45","16,58","16,60","16,45","0,00","-0,78"
11.03.2022,"16,50","16,44","16,50","16,44","0,00","0,30"
14.03.2022,"16,56","16,50","16,59","16,50","0,00","0,36"
15.03.2022,"16,52","16,47","16,54","16,40","0,00","-0,24"
16.03.2022,"16,42","16,65","16,65","16,42","0,00","-0,61"
17.03.2022,"16,34","16,38","16,40","16,34","0,00","-0,49"
18.03.2022,"16,51","16,66","16,66","16,51","0,00","1,04"
21.03.2022,"16,58","16,56","16,58","16,56","0,00","0,42"
22.03.2022,"16,76","16,74","16,76","16,74","0,00","1,09"
23.03.2022,"16,67","16,81","16,81","16,67","0,00","-0,54"
24.03.2022,"16,75","16,87","16,87","16,75","0,00","0,48"
25.03.2022,"17,07","16,90","17,07","16,90","0,00","1,91"
28.03.2022,"17,13","17,15","17,25","17,09","0,00","0,35"
29.03.2022,"16,83","17,12","17,15","16,81","0,00","-1,75"
30.03.2022,"16,95","16,90","16,96","16,89","0,00","0,71"
31.03.2022,"16,92","16,81","16,96","16,81","0,00","-0,18"
01.04.2022,"16,87","16,88","16,96","16,87","0,00","-0,30"
04.04.2022,"16,91","16,89","16,95","16,89","0,00","0,24"
05.04.2022,"16,82","16,91","17,02","16,77","0,00","-0,53"
06.04.2022,"17,04","16,83","17,05","16,83","0,00","1,31"
07.04.2022,"17,04","16,99","17,04","16,97","0,00","0,00"
08.04.2022,"17,09","17,05","17,11","16,97","0,00","0,29"
11.04.2022,"17,02","17,02","17,04","16,91","0,00","-0,41"
12.04.2022,"17,10","17,02","17,10","16,95","0,00","0,47"
13.04.2022,"16,92","17,00","17,00","16,88","0,00","-1,05"
14.04.2022,"16,92","16,95","16,99","16,90","0,00","0,00"
18.04.2022,"16,94","16,92","16,99","16,92","0,00","0,12"
19.04.2022,"16,98","16,94","16,98","16,84","0,00","0,24"
20.04.2022,"16,86","16,94","16,94","16,86","0,00","-0,71"
21.04.2022,"17,03","16,85","17,05","16,85","0,00","1,01"
22.04.2022,"16,86","16,95","17,00","16,77","0,00","-1,00"
25.04.2022,"16,77","16,80","16,83","16,69","0,00","-0,53"
26.04.2022,"16,79","16,75","16,86","16,73","0,00","0,12"
27.04.2022,"16,64","16,80","16,84","16,63","0,00","-0,89"
28.04.2022,"16,81","16,70","16,81","16,64","0,00","1,02"
29.04.2022,"17,03","16,90","17,05","16,90","0,00","1,31"
02.05.2022,"17,09","16,92","17,09","16,89","0,00","0,35"
03.05.2022,"17,11","17,05","17,11","17,05","0,00","0,12"
04.05.2022,"17,10","17,03","17,10","17,03","0,00","-0,06"
05.05.2022,"17,09","17,10","17,10","17,05","0,00","-0,06"
06.05.2022,"17,16","17,10","17,17","17,07","0,00","0,41"
09.05.2022,"17,17","17,05","17,17","16,99","0,00","0,06"
10.05.2022,"17,16","17,11","17,18","17,10","0,00","-0,06"
11.05.2022,"17,24","17,25","17,25","17,23","0,00","0,47"
12.05.2022,"17,08","17,15","17,15","17,03","0,00","-0,93"
13.05.2022,"17,30","17,07","17,30","17,07","0,00","1,29"
16.05.2022,"17,56","17,30","17,58","17,30","0,00","1,50"
17.05.2022,"17,72","17,63","17,76","17,63","0,00","0,91"
18.05.2022,"17,72","17,56","17,73","17,56","0,00","0,00"
19.05.2022,"17,78","17,70","17,84","17,69","0,00","0,34"
20.05.2022,"17,82","17,83","17,83","17,82","0,00","0,22"
23.05.2022,"17,86","17,86","17,86","17,85","0,00","0,22"
24.05.2022,"17,69","17,74","17,85","17,49","0,00","-0,95"
25.05.2022,"17,68","17,66","17,69","17,58","0,00","-0,06"
26.05.2022,"17,74","17,60","17,75","17,60","0,00","0,34"
27.05.2022,"17,75","17,73","17,75","17,73","0,00","0,06"
31.05.2022,"17,70","17,70","17,71","17,59","0,00","-0,28"
01.06.2022,"17,63","17,68","17,68","17,49","0,00","-0,40"
02.06.2022,"17,61","17,59","17,72","17,57","0,00","-0,11"
03.06.2022,"17,63","17,62","17,63","17,61","0,00","0,11"
06.06.2022,"17,91","17,70","17,91","17,70","0,00","1,59"
07.06.2022,"17,62","17,72","17,77","17,55","0,00","-1,62"
08.06.2022,"17,75","17,77","17,85","17,70","0,00","0,74"
09.06.2022,"17,80","17,75","17,85","17,73","0,00","0,28"
10.06.2022,"17,68","17,75","17,85","17,60","0,00","-0,67"
13.06.2022,"17,45","17,65","17,65","17,31","0,00","-1,30"
14.06.2022,"17,33","17,44","17,44","17,26","0,00","-0,69"
15.06.2022,"17,22","17,23","17,23","17,22","0,00","-0,63"
16.06.2022,"17,19","17,21","17,34","17,17","0,00","-0,17"
17.06.2022,"17,19","17,31","17,41","17,14","0,00","0,00"
21.06.2022,"17,15","17,19","17,33","17,09","0,00","-0,23"
22.06.2022,"17,13","17,09","17,14","17,05","0,00","-0,12"
23.06.2022,"16,96","17,05","17,05","16,92","0,00","-0,99"
24.06.2022,"17,00","16,94","17,04","16,93","0,00","0,24"
27.06.2022,"17,08","17,03","17,08","16,92","0,00","0,47"
28.06.2022,"17,00","17,11","17,11","16,94","0,00","-0,47"
29.06.2022,"16,95","16,95","16,98","16,95","0,00","-0,29"
30.06.2022,"17,01","16,92","17,06","16,92","0,00","0,35"
01.07.2022,"16,79","16,96","16,96","16,62","0,00","-1,29"
05.07.2022,"16,62","16,78","16,94","16,57","0,00","-1,01"
06.07.2022,"16,64","16,64","16,77","16,58","0,00","0,12"
07.07.2022,"16,86","16,79","16,86","16,79","0,00","1,32"
08.07.2022,"16,90","16,86","17,02","16,86","0,00","0,24"
11.07.2022,"16,82","16,89","16,89","16,79","0,00","-0,47"
12.07.2022,"16,53","16,74","16,77","16,50","0,00","-1,72"
13.07.2022,"16,59","16,58","16,66","16,57","0,00","0,36"
14.07.2022,"16,48","16,51","16,56","16,34","0,00","-0,66"
15.07.2022,"16,60","16,48","16,71","16,48","0,00","0,73"
18.07.2022,"16,70","16,71","16,78","16,70","0,00","0,60"
19.07.2022,"16,41","16,70","16,72","16,40","0,00","-1,74"
20.07.2022,"16,40","16,41","16,43","16,33","0,00","-0,06"
21.07.2022,"16,31","16,40","16,41","16,27","0,00","-0,55"
22.07.2022,"16,28","16,24","16,30","16,14","0,00","-0,18"
25.07.2022,"16,15","16,24","16,25","16,05","0,00","-0,80"
26.07.2022,"16,18","16,29","16,40","16,16","0,00","0,19"
27.07.2022,"16,33","16,22","16,36","16,22","0,00","0,93"
28.07.2022,"16,39","16,32","16,46","16,32","0,00","0,37"
29.07.2022,"16,29","16,44","16,45","16,29","0,00","-0,61"
01.08.2022,"16,34","16,24","16,34","16,06","0,00","0,31"
02.08.2022,"16,38","16,38","16,45","16,31","0,00","0,24"
03.08.2022,"16,36","16,38","16,55","16,30","0,00","-0,12"
04.08.2022,"16,29","16,40","16,40","16,29","0,00","-0,43"
05.08.2022,"16,45","16,33","16,45","16,33","0,00","0,98"
08.08.2022,"16,62","16,50","16,62","16,46","0,00","1,03"
09.08.2022,"16,52","16,52","16,52","16,52","0,00","-0,60"
10.08.2022,"16,64","16,52","16,64","16,51","0,00","0,73"
11.08.2022,"16,68","16,68","16,68","16,57","0,00","0,24"
12.08.2022,"16,67","16,61","16,68","16,61","0,00","-0,06"
15.08.2022,"16,68","16,68","16,68","16,68","0,00","0,06"
16.08.2022,"16,52","16,67","16,68","16,51","0,00","-0,96"
17.08.2022,"16,44","16,52","16,65","16,40","0,00","-0,48"
18.08.2022,"16,34","16,40","16,40","16,32","0,00","-0,61"
19.08.2022,"16,45","16,51","16,53","16,39","0,00","0,67"
22.08.2022,"16,41","16,36","16,41","16,36","0,00","-0,24"
23.08.2022,"16,27","16,32","16,34","16,19","0,00","-0,85"
24.08.2022,"16,48","16,40","16,52","16,40","0,00","1,29"
25.08.2022,"16,51","16,52","16,52","16,41","0,00","0,18"
26.08.2022,"16,67","16,65","16,68","16,62","0,00","0,97"
29.08.2022,"16,75","16,49","16,77","16,49","0,00","0,48"
30.08.2022,"16,59","16,67","16,67","16,58","0,00","-0,96"
31.08.2022,"16,43","16,56","16,56","16,34","0,00","-0,96"
01.09.2022,"16,33","16,33","16,34","16,25","0,00","-0,61"
02.09.2022,"16,56","16,42","16,56","16,41","0,00","1,41"
06.09.2022,"16,39","16,53","16,56","16,30","0,00","-1,03"
07.09.2022,"16,48","16,29","16,50","16,29","0,00","0,55"
08.09.2022,"16,57","16,48","16,57","16,45","0,00","0,55"
09.09.2022,"16,72","16,58","16,76","16,57","0,00","0,91"
12.09.2022,"16,74","16,58","16,74","16,57","0,00","0,12"
13.09.2022,"16,63","16,57","16,63","16,57","0,00","-0,66"
14.09.2022,"16,71","16,60","16,73","16,57","0,00","0,48"
15.09.2022,"16,52","16,70","16,70","16,46","0,00","-1,14"
16.09.2022,"16,29","16,47","16,47","16,27","0,00","-1,39"
19.09.2022,"16,19","16,20","16,20","16,19","0,00","-0,61"
20.09.2022,"16,46","16,27","16,46","16,19","0,00","1,67"
21.09.2022,"16,41","16,50","16,54","16,40","0,00","-0,30"
22.09.2022,"16,51","16,41","16,51","16,41","0,00","0,61"
23.09.2022,"16,23","16,40","16,42","16,08","0,00","-1,70"
26.09.2022,"15,98","16,26","16,31","15,95","0,00","-1,54"
27.09.2022,"15,94","16,09","16,09","15,88","0,00","-0,25"
28.09.2022,"16,09","15,90","16,11","15,88","0,00","0,94"
29.09.2022,"16,02","16,09","16,09","15,97","0,00","-0,44"
30.09.2022,"15,96","16,06","16,09","15,88","0,00","-0,37"
03.10.2022,"16,15","16,10","16,18","16,06","0,00","1,19"
04.10.2022,"16,29","16,17","16,35","16,13","0,00","0,87"
05.10.2022,"16,34","16,30","16,39","16,30","0,00","0,31"
06.10.2022,"16,38","16,36","16,43","16,34","0,00","0,24"
07.10.2022,"16,37","16,39","16,40","16,32","0,00","-0,06"
10.10.2022,"16,27","16,33","16,33","16,20","0,00","-0,61"
11.10.2022,"16,21","16,19","16,26","16,12","0,00","-0,37"
12.10.2022,"16,25","16,13","16,25","16,13","0,00","0,25"
13.10.2022,"16,16","16,23","16,23","16,04","0,00","-0,55"
14.10.2022,"16,16","16,15","16,20","16,06","0,00","0,00"
17.10.2022,"16,25","16,15","16,26","16,15","0,00","0,56"
18.10.2022,"16,17","16,22","16,22","16,06","0,00","-0,49"
19.10.2022,"16,15","16,17","16,20","16,13","0,00","-0,12"
20.10.2022,"16,01","16,16","16,16","16,01","0,00","-0,87"
21.10.2022,"15,99","16,00","16,06","15,93","0,00","-0,12"
24.10.2022,"15,91","15,93","15,95","15,88","0,00","-0,50"
25.10.2022,"15,87","15,88","15,91","15,81","0,00","-0,25"
26.10.2022,"15,76","15,88","15,88","15,76","0,00","-0,69"
27.10.2022,"15,85","15,78","15,89","15,74","0,00","0,57"
28.10.2022,"15,83","15,80","15,87","15,79","0,00","-0,13"
31.10.2022,"15,85","15,82","15,89","15,79","0,00","0,13"
01.11.2022,"16,26","15,95","16,28","15,95","0,00","2,59"
02.11.2022,"16,34","16,18","16,34","16,18","0,00","0,49"
03.11.2022,"16,23","16,22","16,25","16,14","0,00","-0,67"
04.11.2022,"16,46","16,27","16,46","16,27","0,00","1,42"
07.11.2022,"16,46","16,30","16,50","16,30","0,00","0,00"
08.11.2022,"16,58","16,48","16,60","16,43","0,00","0,73"
09.11.2022,"16,66","16,54","16,68","16,52","0,00","0,48"
10.11.2022,"16,24","16,62","16,62","16,16","0,00","-2,52"
11.11.2022,"16,19","16,32","16,41","15,89","0,00","-0,31"
14.11.2022,"16,34","16,16","16,36","16,15","0,00","0,93"
15.11.2022,"16,42","16,34","16,44","16,34","0,00","0,49"
16.11.2022,"16,10","16,39","16,41","16,02","0,00","-1,95"
17.11.2022,"15,99","16,10","16,20","15,69","0,00","-0,68"
18.11.2022,"16,16","15,96","16,19","15,96","0,00","1,06"
21.11.2022,"16,21","16,03","16,23","16,03","0,00","0,31"
22.11.2022,"16,14","16,22","16,30","16,12","0,00","-0,43"
